0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:46 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:46 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:47 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:47 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:11:49 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/img/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 200 21312
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/styles/style.css HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /bilboSKP/img/fondod.png HTTP/1.1" 200 258481
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:16 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:17 +0200] "GET /bilboSKP/Registrar.jsp HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:18 +0200] "GET /bilboSKP/Registrar3.jsp HTTP/1.1" 200 14998
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:18 +0200] "GET /bilboSKP/paypal-logo.png HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:18 +0200] "GET /bilboSKP/bilboskp-logo.png HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:18 +0200] "GET /bilboSKP/styles/geometric-pattern.png HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:19 +0200] "GET /bilboSKP/SolicitudEmail.jsp HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:20 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:21 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:21 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:21 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 6352
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:34 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:34 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:34 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:16:34 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:17:24 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 6352
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:17:24 +0200] "GET /bilboSKP/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:17:24 +0200] "GET /bilboSKP/img/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:12 +0200] "GET /bilboSKP/QuienesSomos.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:12 +0200] "GET /bilboSKP/img/fondod.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:16 +0200] "GET /bilboSKP/Ayuda.jsp HTTP/1.1" 200 11489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:17 +0200] "GET /bilboSKP/EscapeRooms.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:17 +0200] "GET /bilboSKP/styles/ruta/a/tu/imagen.jpg HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:18 +0200] "GET /bilboSKP/QuienesSomos.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:18 +0200] "GET /bilboSKP/EscapeRooms.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:19 +0200] "GET /bilboSKP/Ayuda.jsp HTTP/1.1" 200 11489
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:20 +0200] "GET /bilboSKP/QuienesSomos.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:21 +0200] "GET /bilboSKP/Index.jsp HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:21 +0200] "GET /placeholder.svg?height=500&width=1200 HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [24/Apr/2025:23:18:21 +0200] "GET /placeholder.svg?height=400&width=600 HTTP/1.1" 404 702
